Type,Subtype,Subset,Filter,Genotype,QQ.Field,QQ,METRIC.Recall,METRIC.Precision,METRIC.Frac_NA,METRIC.F1_Score,FP.gt,FP.al,Subset.Size,Subset.IS_CONF.Size,Subset.Level,TRUTH.TOTAL,TRUTH.TOTAL.ti,TRUTH.TOTAL.tv,TRUTH.TOTAL.het,TRUTH.TOTAL.homalt,TRUTH.TOTAL.TiTv_ratio,TRUTH.TOTAL.het_hom_ratio,TRUTH.TP,TRUTH.TP.ti,TRUTH.TP.tv,TRUTH.TP.het,TRUTH.TP.homalt,TRUTH.TP.TiTv_ratio,TRUTH.TP.het_hom_ratio,TRUTH.FN,TRUTH.FN.ti,TRUTH.FN.tv,TRUTH.FN.het,TRUTH.FN.homalt,TRUTH.FN.TiTv_ratio,TRUTH.FN.het_hom_ratio,QUERY.TOTAL,QUERY.TOTAL.ti,QUERY.TOTAL.tv,QUERY.TOTAL.het,QUERY.TOTAL.homalt,QUERY.TOTAL.TiTv_ratio,QUERY.TOTAL.het_hom_ratio,QUERY.TP,QUERY.TP.ti,QUERY.TP.tv,QUERY.TP.het,QUERY.TP.homalt,QUERY.TP.TiTv_ratio,QUERY.TP.het_hom_ratio,QUERY.FP,QUERY.FP.ti,QUERY.FP.tv,QUERY.FP.het,QUERY.FP.homalt,QUERY.FP.TiTv_ratio,QUERY.FP.het_hom_ratio,QUERY.UNK,QUERY.UNK.ti,QUERY.UNK.tv,QUERY.UNK.het,QUERY.UNK.homalt,QUERY.UNK.TiTv_ratio,QUERY.UNK.het_hom_ratio
INDEL,I1_5,SimpleRepeat_imperfecthomopolgt10_slop5,PASS,*,QUAL,*,0.971196,0.957803,0.62998,0.964453,1228,680,44462862.000000,28257403.000000,0.000000,69192,.,.,35690.000000,24170.000000,,1.47662391394,67199,.,.,34467.000000,24006.000000,,1.43576605849,1993,.,.,1223.000000,164.000000,,7.45731707317,188360,.,.,114543.000000,57882.000000,,1.97890535918,66756,.,.,38993.000000,23881.000000,,1.63280432143,2941,.,.,1663.000000,1019.000000,,1.63199214917,118663,.,.,73887.000000,32982.000000,,2.24022193924
INDEL,I1_5,SimpleRepeat_imperfecthomopolgt20_slop5,ALL,*,QUAL,*,0.954423,0.916896,0.867312,0.935283,231,233,10985008.000000,4125028.000000,0.000000,8535,.,.,4779.000000,2235.000000,,2.13825503356,8146,.,.,4559.000000,2210.000000,,2.0628959276,389,.,.,220.000000,25.000000,,8.8,65658,.,.,40255.000000,17879.000000,,2.25152413446,7988,.,.,5391.000000,2157.000000,,2.49930458971,724,.,.,481.000000,197.000000,,2.44162436548,56946,.,.,34383.000000,15525.000000,,2.21468599034
INDEL,I1_5,SimpleRepeat_imperfecthomopolgt20_slop5,PASS,*,QUAL,*,0.954423,0.916896,0.867312,0.935283,231,233,10985008.000000,4125028.000000,0.000000,8535,.,.,4779.000000,2235.000000,,2.13825503356,8146,.,.,4559.000000,2210.000000,,2.0628959276,389,.,.,220.000000,25.000000,,8.8,65658,.,.,40255.000000,17879.000000,,2.25152413446,7988,.,.,5391.000000,2157.000000,,2.49930458971,724,.,.,481.000000,197.000000,,2.44162436548,56946,.,.,34383.000000,15525.000000,,2.21468599034
INDEL,I1_5,SimpleRepeat_quadTR_20to50_slop5,ALL,*,QUAL,*,0.936622,0.956744,0.341935,0.946576,251,42,4260126.000000,2980942.000000,0.000000,7763,.,.,4251.000000,2019.000000,,2.10549777117,7271,.,.,3930.000000,2019.000000,,1.94650817236,492,.,.,321.000000,0.000000,,,11277,.,.,7170.000000,3058.000000,,2.34466971877,7100,.,.,4527.000000,1985.000000,,2.28060453401,321,.,.,59.000000,252.000000,,0.234126984127,3856,.,.,2584.000000,821.000000,,3.14738124239
INDEL,I1_5,SimpleRepeat_quadTR_20to50_slop5,PASS,*,QUAL,*,0.936622,0.956744,0.341935,0.946576,251,42,4260126.000000,2980942.000000,0.000000,7763,.,.,4251.000000,2019.000000,,2.10549777117,7271,.,.,3930.000000,2019.000000,,1.94650817236,492,.,.,321.000000,0.000000,,,11277,.,.,7170.000000,3058.000000,,2.34466971877,7100,.,.,4527.000000,1985.000000,,2.28060453401,321,.,.,59.000000,252.000000,,0.234126984127,3856,.,.,2584.000000,821.000000,,3.14738124239
INDEL,I1_5,SimpleRepeat_quadTR_51to200_slop5,ALL,*,QUAL,*,0.782906,0.815498,0.682855,0.79887,62,21,646435.000000,185490.000000,0.000000,585,.,.,256.000000,57.000000,,4.49122807018,458,.,.,195.000000,55.000000,,3.54545454545,127,.,.,61.000000,2.000000,,30.5,1709,.,.,1207.000000,273.000000,,4.42124542125,442,.,.,327.000000,55.000000,,5.94545454545,100,.,.,37.000000,56.000000,,0.660714285714,1167,.,.,843.000000,162.000000,,5.2037037037
INDEL,I1_5,SimpleRepeat_quadTR_51to200_slop5,PASS,*,QUAL,*,0.782906,0.815498,0.682855,0.79887,62,21,646435.000000,185490.000000,0.000000,585,.,.,256.000000,57.000000,,4.49122807018,458,.,.,195.000000,55.000000,,3.54545454545,127,.,.,61.000000,2.000000,,30.5,1709,.,.,1207.000000,273.000000,,4.42124542125,442,.,.,327.000000,55.000000,,5.94545454545,100,.,.,37.000000,56.000000,,0.660714285714,1167,.,.,843.000000,162.000000,,5.2037037037
INDEL,I1_5,SimpleRepeat_quadTR_gt200_slop5,ALL,*,QUAL,*,0.0,,1.0,,0,0,2145.000000,0.000000,0.000000,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,1,.,.,1.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,1,.,.,1.000000,0.000000,,
INDEL,I1_5,SimpleRepeat_quadTR_gt200_slop5,PASS,*,QUAL,*,0.0,,1.0,,0,0,2145.000000,0.000000,0.000000,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,1,.,.,1.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,1,.,.,1.000000,0.000000,,
INDEL,I1_5,SimpleRepeat_triTR_15to50_slop5,ALL,*,QUAL,*,0.956156,0.962847,0.317785,0.95949,68,33,3011899.000000,2374377.000000,0.000000,3330,.,.,1926.000000,851.000000,,2.26321974148,3184,.,.,1828.000000,850.000000,,2.15058823529,146,.,.,98.000000,1.000000,,98.0,4695,.,.,3073.000000,1293.000000,,2.37664346481,3084,.,.,2035.000000,828.000000,,2.4577294686,119,.,.,39.000000,74.000000,,0.527027027027,1492,.,.,999.000000,391.000000,,2.55498721228
